acc	Symbol	logFC_NtoIS	logFC_IStoC	logFC_CtoI	logFC_ItoA	adjPVal_NtoIS	adjPVal_IStoC	adjPVal_CtoI	adjPVal_ItoA
P60900	PSMA6	-0.0326475	0.137851	-0.231975	0.267835	0.914621	0.0386765	0.00170758	0.000178722
P62491	RAB11A	0.0153554	0.0648758	-0.0349435	0.0609212	0.914621	0.037657	0.233739	0.0213246
P62857	RPS28	-0.0184943	-0.130252	0.0762937	-0.0539321	0.914621	0.00496283	0.056111	0.128459
Q01844	EWSR1	-0.0146813	-0.0807971	0.120682	-0.118468	0.914621	0.0164789	0.000730879	0.00024987
Q04637	EIF4G1	-0.0168566	-0.124215	-0.00873	0.063616	0.914621	0.00310908	0.84265	0.0465423
Q96N46	TTC14	-0.0303924	0.0161356	0.156567	-0.235614	0.914621	0.825487	0.00982449	0.00023679
Q9H6W3	C14orf169	-0.0224723	-0.0280219	0.146458	-0.173699	0.914621	0.554845	0.00274662	0.000227231
Q96F24	NRBF2	-0.0252089	0.159908	-0.0858447	0.0459654	0.915429	0.00583319	0.0746131	0.30308
P33241	LSP1	0.0351405	0.178927	-0.316642	0.341802	0.916403	0.0194873	0.000193914	2.06E-05
Q9HA92	RSAD1	0.0200166	-0.0444759	0.133452	-0.168292	0.916403	0.284283	0.0029688	0.000153438
Q9NTZ6	RBM12	0.0222504	0.0590037	0.0767543	-0.139937	0.916403	0.198148	0.0722883	0.00138088
O95825	CRYZL1	0.0181357	0.127323	-0.097483	0.0755751	0.918644	0.00363143	0.0103316	0.0236616
Q8IWA0	WDR75	-0.0156764	0.0487854	0.0637316	-0.120811	0.918644	0.136141	0.0393901	0.0003255
Q96ES7	LOC112869	0.0230754	-0.0375279	0.138349	-0.185045	0.918818	0.461014	0.00576203	0.000283591
P51808	DYNLT3	-0.0187912	0.180028	-0.0778985	0.0294487	0.918823	0.000615737	0.0561858	0.44478
Q14161	GIT2	-0.0173074	0.049032	-0.141733	0.140483	0.918823	0.197946	0.000667787	0.000188585
Q9BQ89	C20orf55	-0.0257669	-0.122271	-0.101268	0.175091	0.918823	0.0396411	0.0855132	0.00240251
Q6JBY9	RCSD1	0.0263092	0.0426667	0.124812	-0.152407	0.919137	0.454301	0.0171779	0.00265572
Q92759	GTF2H4	0.015081	-0.147642	0.0234193	0.00298556	0.919167	0.000666519	0.516743	0.934237
P13489	RNH1	0.017632	-0.000445551	-0.134317	0.232405	0.92078	0.993888	0.00244948	4.89E-06
Q9BT78	COPS4	0.0185663	0.140019	-0.0822832	0.0433291	0.92078	0.00281066	0.0303711	0.206294
Q9H0D6	XRN2	0.0234926	0.164255	-0.150161	0.13676	0.92078	0.00462132	0.0042881	0.00381451
Q9H329	EPB41L4B	-0.0124335	0.0281014	0.078482	-0.120458	0.92078	0.321646	0.0137787	0.00023679
Q9HB75	LRDD	-0.0319116	-0.087333	-0.0278525	0.0812125	0.92078	0.224054	0.732523	0.197373
Q9NU23	DJ122O8.2	0.0296673	0.191161	-0.274831	0.257762	0.92078	0.00650453	0.000368683	0.000160489
Q9NUI1	DECR2	0.038282	-0.00361	-0.11195	0.293318	0.92078	0.97535	0.157813	0.000353761
Q9NYU2	UGCGL1	0.0277428	-0.0605429	-0.220324	0.216128	0.92078	0.328186	0.0009496	0.000335902
Q9ULP0	NDRG4	-0.0317943	-0.119143	-0.028969	-0.147992	0.92078	0.103798	0.732839	0.0257518
Q8TCX1	DYNC2LI1	-0.0166408	0.183228	-0.164282	0.149535	0.922265	0.00133096	0.0014636	0.000876442
P30520	ADSS	-0.0200641	0.053557	-0.133368	0.166652	0.92782	0.253802	0.00443467	0.000314069
Q92797	SYMPK	-0.0167408	-0.277764	0.20457	-0.191247	0.929139	1.58E-06	0.000034216	2.06E-05
Q96EH5	RPL39L	0.033277	0.110022	-0.0704831	0.183855	0.931522	0.145784	0.3471	0.00652545
P49207	RPL34	-0.0235112	0.169374	-0.147023	0.0922173	0.934927	0.0062387	0.00809828	0.0552631
Q9NP97	DNCL2A	0.0170441	-0.135017	0.059294	0.0429641	0.934927	0.0054101	0.157437	0.244278
P04075	ALDOA	-0.0398744	0.11386	-0.341617	0.445125	0.935347	0.227645	0.00173822	0.000061125
Q9Y324	FCF1	-0.0197217	0.181236	-0.211034	0.141477	0.936846	0.00346658	0.000573274	0.00311866
O60637	TSPAN3	-0.0259935	0.0600435	-0.212648	0.309882	0.940852	0.35306	0.00248166	3.00E-05
P16284	PECAM1	-0.0164843	0.0495515	0.032988	0.0747661	0.942464	0.235015	0.428279	0.0333046
P78382	SLC35A1	0.0171555	0.0886897	0.0546511	-0.0799432	0.942464	0.0421949	0.166334	0.0269123
Q68CQ7	GLT8D1	-0.0143723	-0.0435714	0.142314	-0.127052	0.942464	0.213914	0.00103303	0.00100112
Q8TD26	CHD6	0.012959	-0.00432754	0.132359	-0.113579	0.942464	0.918999	0.00150995	0.0019417
Q9Y5N5	C21orf127	-0.0171887	0.102941	-0.158406	0.117575	0.942464	0.034645	0.00166879	0.00386833
O15120	AGPAT2	0.0188981	0.0394144	-0.144668	0.2071	0.943154	0.44016	0.00350799	7.52E-05
P62195	PSMC5	-0.0110341	-0.106474	0.176721	-0.146899	0.944085	0.00262158	1.38E-05	2.06E-05
P43686	PSMC4	0.0241043	0.148139	-0.249661	0.315368	0.945102	0.0289902	0.000517894	1.40E-05
Q9Y314	NOSIP	-0.0147917	0.0408725	-0.174122	0.231543	0.945427	0.287619	0.00041373	4.89E-06
Q86SZ2	TRAPPC6B	-0.0156015	-0.035802	0.161425	-0.153155	0.945566	0.376486	0.000642012	0.000303125
P0DP25	CALM3	-0.0143619	-0.0730199	-0.0567269	0.107557	0.945841	0.0664989	0.161437	0.00496017
P49765	VEGFB	-0.0152015	-0.0331358	0.123838	-0.157688	0.945841	0.412606	0.00348012	0.00016726
O00566	MPHOSPH10	0.0143214	0.117845	-0.0860676	0.0467253	0.946295	0.00507657	0.0168416	0.144908
P29728	OAS2	0.0329795	0.151245	-0.340185	0.314616	0.947811	0.0836997	0.000385388	0.00016726
Q5TA31	RNF187	0.0113305	0.03524	-0.108109	0.113569	0.947811	0.2702	0.00143172	0.000289462
Q9BUH6	C9orf142	-0.020853	-0.028116	-0.168984	0.159759	0.947811	0.648069	0.00703051	0.00514598
Q9NRG4	SMYD2	0.0125436	0.0895257	0.0252776	-0.0523081	0.947811	0.0139256	0.447763	0.0675042
Q9BX74	TM2D1	0.0142387	0.132852	-0.154413	0.153083	0.947823	0.00566686	0.00106495	0.000339388
Q5PRF9	SAMD4B	0.0147564	-0.190455	0.220416	-0.242315	0.948389	0.000122719	1.38E-05	1.22E-06
Q9BZE2	PUS3	-0.0119096	0.10026	-0.0125338	-0.0197135	0.94937	0.00596367	0.725186	0.503234
O14763	TNFRSF10B	0.0171698	-0.0515235	0.0847471	-0.0584715	0.949628	0.273881	0.0607928	0.148597
P18621	RPL17	-0.0204038	0.165888	-0.17258	0.138791	0.950047	0.00620157	0.00282545	0.00572397
A1L0T0	ILVBL	-0.0161082	0.0919839	-0.162475	0.206939	0.952921	0.046217	0.00139435	6.02E-05
P20962	PTMS	-0.0301608	-0.161766	-0.0818701	0.242873	0.952921	0.0531776	0.254008	0.00126322
P31785	IL2RG	-0.0180449	-0.108285	-0.110603	0.142693	0.952921	0.0294492	0.0080434	0.000649351
P49756	RBM25	0.0158821	-0.0618796	0.171857	-0.232545	0.952921	0.17648	0.000813645	2.05E-05
Q5XKP0	QIL1	-0.0150856	0.0884879	-0.169462	0.20419	0.952921	0.041509	0.000743802	4.86E-05
Q9H061	TMEM126A	-0.018994	0.169171	-0.108914	0.056158	0.952921	0.00489941	0.0289701	0.215221
Q9NX94	C10orf26	0.0170838	0.0581886	-0.120821	0.17464	0.952921	0.213707	0.0114144	0.000338358
Q9Y225	RNF24	-0.0216204	-0.127743	-0.044672	0.10363	0.952921	0.0326377	0.401122	0.0302218
P27701	CD82	-0.0220964	0.0491416	-0.0697152	0.0596845	0.954096	0.474217	0.283824	0.298997
P35268	RPL22	0.018753	0.174333	-0.11423	0.0641987	0.954096	0.00321407	0.0181058	0.143325
P78312	C4orf8	0.0117973	-0.138421	0.133274	-0.092173	0.954096	0.00183502	0.00109059	0.00543096
Q1KMD3	HNRPUL2	-0.0183438	-0.17198	0.237578	-0.247692	0.954096	0.00768086	0.000503003	9.53E-05
Q6PJG2	C14orf43	-0.0138674	-0.0316896	0.130407	-0.165404	0.954096	0.451387	0.00272776	0.000158232
Q9Y5L0	TNPO3	-0.0146857	-0.152737	0.167669	-0.203225	0.954096	0.00366299	0.00104862	7.59E-05
Q9NYZ3	GTSE1	-0.0298424	-0.118091	0.112057	0.0130687	0.954193	0.150346	0.162429	0.88568
P08397	HMBS	0.0172235	0.0885654	-0.170758	0.264876	0.954516	0.117582	0.00299887	2.80E-05
Q9Y3D6	FIS1	-0.0139499	0.113543	-0.217929	0.197601	0.954871	0.0118336	0.000085562	5.99E-05
O15304	SIVA	0.0111086	-0.0333948	0.0460491	-0.0441056	0.956535	0.337349	0.166345	0.140476
Q15649	ZNHIT3	0.00857848	0.0847418	-0.0912141	0.0688867	0.957092	0.00496283	0.00173822	0.00523133
Q4KMP7	TBC1D10B	-0.0152395	-0.145738	0.0699978	-0.0118499	0.957583	0.00599109	0.117714	0.804877
Q9HCS7	XAB2	-0.0241003	-0.119879	-0.174413	0.218969	0.957583	0.131483	0.0370776	0.00561737
Q14761	PTPRCAP	-0.014494	-0.0660016	-0.105197	0.118009	0.957649	0.162856	0.0318072	0.0095606
P63162	SNRPN	0.0146584	0.00285313	-0.177363	0.20521	0.958517	0.96419	0.000667787	5.95E-05
Q9UNX3	RPL26L1	-0.0193619	0.182979	-0.219027	0.202709	0.958528	0.00703113	0.00131859	0.000902747
P39019	RPS19	-0.00661576	-0.0603907	0.0924157	-0.0868388	0.958643	0.0138967	0.00049869	0.000210622
P51828	ADCY7	0.0124974	-0.0694883	0.187509	-0.150044	0.958643	0.084244	0.000193914	0.000324257
Q03519	TAP2	-0.0202654	-0.269169	0.185155	-0.156244	0.958643	0.000666519	0.00471509	0.00758472
Q14257	RCN2	-0.015259	0.151884	-0.0609585	0.0472464	0.958643	0.00566686	0.178689	0.251863
Q9H0Z9	RNPC1	0.0120807	-0.146299	0.0060147	-0.0726592	0.958643	0.00283867	0.911847	0.0556226
Q8TBZ8	ZNF564	0.0123578	0.0815045	-0.139277	0.0969461	0.959405	0.046217	0.00193604	0.00943198
Q9H4A3	WNK1	0.0166302	-0.185434	0.156973	-0.144191	0.959827	0.00220808	0.00329735	0.0028464
Q9Y5B6	C21orf66	-0.0134707	-0.0113321	0.156515	-0.1768	0.960226	0.832481	0.00140431	0.00016726
Q92896	GLG1	-0.00967125	-0.053386	0.11968	-0.0950134	0.960296	0.108973	0.00119987	0.00217831
P63162	SNRPN	0.0261261	0.177098	-0.32141	0.34374	0.960468	0.0397203	0.00109054	0.000216564
Q9Y3B4	SF3B14	-0.0170448	0.193732	-0.150561	0.11813	0.960468	0.00283867	0.00684932	0.0161187
Q07326	PIGF	-0.0125664	0.140869	-0.0869434	0.0499235	0.961626	0.00391051	0.0324248	0.173892
Q9BWN1	MGC3121	-0.0114132	-0.045015	0.127133	-0.164018	0.961626	0.259626	0.00267826	0.000137696
Q14527	SMARCA3	0.0130411	0.106956	0.0317194	-0.0261565	0.962267	0.0221789	0.465188	0.50396
Q5VW22	CTGLF3	-0.0157686	-0.0644204	0.175435	-0.205872	0.962393	0.250346	0.00272776	0.000295141
P02671	FGA	0.0103971	-0.0521633	0.13982	-0.121189	0.962461	0.138784	0.000730879	0.000829187
Q6Q0C0	TRAF7	-0.0156115	-0.045761	-0.150612	0.213655	0.962461	0.401436	0.0029688	7.17E-05
A2VDJ0	KIAA0922	-0.0116683	-0.149703	0.0636307	-0.0294465	0.962575	0.00321407	0.13702	0.461744
O15304	SIVA	-0.0151601	0.0453122	-0.0856548	0.0992326	0.962575	0.42597	0.115397	0.044196
O60291	MGRN1	-0.0165292	-0.0430265	-0.151573	0.199194	0.962575	0.480962	0.00832236	0.000473564
Q15833	STXBP2	-0.0216711	-0.0375165	-0.231101	0.308364	0.962575	0.670929	0.00774959	0.000363565
Q96SW2	CRBN	-0.0118365	0.162491	-0.042481	-0.0367608	0.962575	0.00133096	0.26684	0.296141
P31150	GDI1	0.0126006	-0.16088	0.144522	-0.107805	0.962615	0.00496283	0.00539549	0.0146905
P43243	MATR3	0.0185738	0.148837	-0.214081	0.249591	0.962615	0.034421	0.00307569	0.000338358
P62310	LSM3	-0.0151968	0.172564	-0.12689	0.101028	0.962615	0.00599109	0.0182483	0.0358082
Q96I34	PPP1R16A	0.0124676	-0.0552824	0.168613	-0.171892	0.962615	0.223879	0.00202171	0.000659697
Q9BQ90	KLHDC3	-0.00881783	-0.0352203	0.125046	-0.126795	0.962786	0.306959	0.00103303	0.000296462
O43422	PRKRIR	-0.00921527	0.117018	-0.0398772	0.00694012	0.962798	0.00363015	0.225278	0.841225
P35749	MYH11	-0.0281794	-0.283202	0.106586	-0.243568	0.962798	0.0248899	0.397344	0.0213264
Q9BXP5	ARS2	-0.00791857	-0.0515104	0.117249	-0.126387	0.962798	0.105861	0.000887985	0.000159727
Q9H1A3	DREV1	0.00978747	0.134296	-0.0391649	-0.0496325	0.962798	0.00470188	0.366338	0.17958
P10155	TROVE2	0.0119459	0.0885455	-0.200072	0.189444	0.963618	0.0725445	0.000368683	0.000130645
Q8WUM0	NUP133	0.00857545	0.130134	-0.0587162	0.00861208	0.963873	0.00161644	0.0615081	0.795161
Q15208	STK38	-0.00894157	-0.127215	0.0966423	-0.10266	0.965678	0.00441481	0.0134314	0.00469758
Q92945	KHSRP	0.0102022	-0.158217	0.180961	-0.137216	0.965678	0.00262098	0.000505181	0.0011661
O00399	DCTN6	0.00935826	0.134346	-0.0811134	0.0488828	0.965936	0.00262158	0.0255555	0.133835
Q9NS15	LTBP3	-0.0149609	-0.0458789	-0.155996	0.182483	0.966096	0.481894	0.0159511	0.00310167
Q96FV9	THOC1	0.00854729	0.0020508	0.136281	-0.157023	0.96743	0.966004	0.000698819	6.89E-05
Q9NWL6	ASNSD1	-0.00943587	0.143269	-0.0961201	0.0487128	0.967501	0.00232521	0.0125389	0.151321
Q9NX00	FLJ20512	0.00944644	0.0390669	-0.187603	0.178488	0.967501	0.32389	0.00026225	0.000115169
Q86YV9	HPS6	0.00872939	0.0825552	-0.13	0.13063	0.968579	0.0341674	0.00201546	0.000727709
Q6NT76	HMBOX1	0.00912431	-0.0163586	0.136748	-0.182328	0.968943	0.716291	0.00202846	0.000061125
Q9BUM1	G6PC3	-0.010931	-0.0654325	-0.127645	0.19619	0.96972	0.201912	0.00988961	0.000162552
P20338	RAB4A	-0.00977023	0.160415	-0.145068	0.122136	0.96989	0.00507657	0.00576203	0.00796442
P35249	RFC4	-0.0106761	-0.0219303	0.185552	-0.166524	0.96989	0.696957	0.000965925	0.000726766
P61353	RPL27	-0.00354823	0.0583842	-0.0607229	0.0363794	0.96989	0.00262098	0.0009496	0.0136756
Q12872	SFRS8	-0.00989923	-0.0600861	0.162908	-0.186126	0.96989	0.196745	0.00150995	0.000159727
Q8IX01	SFRS14	-0.00968371	-0.0733451	0.155736	-0.149305	0.96989	0.114276	0.00193029	0.000922779
Q8N2M8	SFRS16	0.0132606	-0.206326	0.222766	-0.234797	0.96989	0.00283867	0.000856106	0.000168363
Q96PK6	RBM14	-0.00573846	-0.0859529	0.110091	-0.099845	0.96989	0.00667997	0.000672738	0.000449734
O75832	PSMD10	0.00881567	0.132998	-0.0395027	0.0140357	0.971193	0.00520963	0.322746	0.724855
Q9Y2M0	MTMR15	0.011094	-0.0439367	0.181146	-0.153068	0.971193	0.430905	0.00193604	0.00225311
O15533	TAPBP	-0.0104551	0.0158491	-0.109842	0.215175	0.971765	0.789503	0.0216345	0.000104843
O95178	NDUFB2	-0.00713389	0.0950528	-0.122947	0.11105	0.97244	0.0138258	0.00193029	0.00160624
P57086	SCAND1	0.0112997	0.0181818	-0.184349	0.268673	0.97244	0.780599	0.0037161	6.89E-05
Q92547	TOPBP1	-0.00898635	-0.09399	0.185059	-0.156291	0.97244	0.0489809	0.000623889	0.00069447
Q9H8W3	C10orf84	-0.00572385	0.0698647	0.0522808	-0.099404	0.97244	0.0359819	0.137499	0.00299928
Q9HA38	ZMAT3	-0.0191894	0.127555	-0.096722	0.0290844	0.97244	0.188872	0.312896	0.766936
P24844	MYL9	0.0109503	-0.163204	0.0609666	-0.019486	0.972821	0.00620157	0.191522	0.686719
Q14004	CDC2L5	-0.00647872	-0.0923429	0.12495	-0.0777481	0.972821	0.0163525	0.00154899	0.0138072
Q7KZN9	COX15	0.00688008	0.112063	-0.154459	0.11081	0.972821	0.00624242	0.000475487	0.00192506
Q7Z7F7	MRPL55	0.00859068	0.0654979	0.0829155	-0.152618	0.972821	0.143825	0.0489791	0.000637867
Q9Y232	CDYL	-0.00745896	0.0962824	0.0940601	-0.131178	0.972821	0.035372	0.0509255	0.0038909
Q9Y5B8	NME7	0.00641585	0.15943	-0.0797529	0.0300989	0.972821	0.000896889	0.0399269	0.397411
Q15334	LLGL1	0.00664756	-0.111963	0.100033	-0.141727	0.973116	0.00853119	0.010274	0.00039558
P62633	CNBP	0.00873099	0.151328	-0.0700082	0.0675668	0.97324	0.0054101	0.11686	0.0939735
Q06187	BTK	0.00824095	-0.088365	0.187063	-0.256766	0.97324	0.0673767	0.000637531	1.40E-05
Q9H3K2	GHITM	-0.00619505	0.116957	-0.0498212	0.00814192	0.97324	0.00321407	0.115192	0.807999
O95873	C6orf47	-0.00707577	-0.14893	0.119803	-0.183315	0.973293	0.00387954	0.00879475	0.000137696
P30279	CCND2	-0.0122214	-0.0877122	-0.0137652	-0.0364866	0.973293	0.247039	0.886352	0.628142
Q12967	RALGDS	0.00685239	-0.314138	0.274841	-0.282715	0.973293	4.89E-06	2.18E-05	3.70E-06
Q5HYK3	COQ5	-0.00570497	0.130425	-0.115365	0.0843489	0.973293	0.00133096	0.0014847	0.00559251
Q8NI36	WDR36	-0.00644468	0.14305	-0.0918016	0.0331964	0.973293	0.00183502	0.0125434	0.312344
Q8WVM7	STAG1	0.00841351	0.0530102	0.111132	-0.122482	0.973293	0.289267	0.0235789	0.00726317
Q8WVX3	LOC401152	-0.00804327	0.0424687	-0.182904	0.132805	0.973293	0.381622	0.00091797	0.00378939
Q96B45	C10orf32	-0.0107439	0.215479	-0.259123	0.193901	0.973293	0.00376469	0.000505181	0.00152753
Q96K62	ZNF499	-0.0070714	-0.0275801	0.17767	-0.179843	0.973293	0.51503	0.000505181	0.000132273
Q9NPE2	NGRN	0.0113752	0.163353	-0.207645	0.248816	0.973293	0.0228199	0.00352016	0.000324257
P35613	BSG	-0.0107243	-0.104015	-0.202926	0.295897	0.973634	0.135967	0.00954312	0.000233578
Q14296	FASTK	0.00633977	-0.153323	0.136816	-0.165459	0.973634	0.00262098	0.00290744	0.000238418
O14776	TCERG1	-0.00595636	-0.0499129	0.130467	-0.143	0.973989	0.198333	0.00201546	0.000324257
P20700	LMNB1	-0.0143951	-0.314553	0.292588	-0.237682	0.973989	0.00496283	0.00439172	0.00828653
Q9UNF0	PACSIN2	-0.00474102	-0.074872	0.119984	-0.116005	0.973989	0.02566	0.000831253	0.000339388
O75494	FUSIP1	0.00768442	0.0726461	-0.167826	0.20248	0.974603	0.141246	0.00250179	0.000193236
P07384	CAPN1	-0.00591626	-0.207536	0.176243	-0.163351	0.975508	0.000227217	0.000521744	0.000270873
Q76L83	ASXL2	0.0039491	-0.03687	0.0923013	-0.104831	0.975508	0.17453	0.00193029	0.00023635
O60934	NBN	-0.00578888	0.151971	-0.111023	0.0959218	0.975899	0.00200297	0.00690819	0.00867733
Q7Z7H8	MRPL10	-0.00496963	-0.104656	0.093944	-0.060058	0.975899	0.00496283	0.00524581	0.038243
Q9GZU1	MCOLN1	0.00820852	-0.185878	0.107259	-0.029746	0.975899	0.0062387	0.0681347	0.60406
Q9UKD1	GMEB2	-0.00550732	-0.0344246	0.123123	-0.165624	0.975899	0.406997	0.00354609	0.000153438
Q9Y222	DMTF1	-0.00557092	-0.0298592	0.166866	-0.210341	0.975899	0.471583	0.000420026	1.40E-05
O00763	ACACB	-0.00935056	-0.118255	0.0865616	-0.181869	0.976676	0.097952	0.217122	0.0048892
Q13185	CBX3	0.00839814	0.00648839	-0.276304	0.283779	0.976676	0.935679	0.000517894	0.000134452
Q96T52	IMMP2L	-0.00510547	0.130943	-0.0369563	0.00271274	0.976676	0.00496283	0.389883	0.952138
P28328	PXMP3	-0.0062789	0.14635	-0.0998726	0.0311632	0.977733	0.00535643	0.0246916	0.459535
O00562	PITPNM1	0.00553301	-0.0770561	-0.0986256	0.0915332	0.979199	0.0855975	0.0323182	0.0283678
P28702	RXRB	0.00629054	-0.0132088	0.139475	-0.214543	0.979444	0.820293	0.00604487	7.59E-05
Q14296	FASTK	-0.00615066	-0.134756	0.0444255	-0.0754017	0.981289	0.0158459	0.400774	0.0937566
O75394	MRPL33	0.00464155	0.096447	-0.146967	0.149289	0.983532	0.0247527	0.00148915	0.000482739
Q7Z7H5	TMED4	-0.00343297	0.0730806	-0.143072	0.139482	0.983532	0.0339358	0.000483305	0.000162552
Q86TB3	HAK	0.0112362	-0.278916	0.114026	-0.25959	0.983532	0.0270302	0.364388	0.0232354
Q8IU81	IRF2BP1	0.00656815	-0.145995	-0.0719084	0.079671	0.983532	0.0221178	0.179348	0.0947137
Q8NHY2	RFWD2	-0.00320827	0.0304289	-0.00168901	-0.00457667	0.983532	0.272839	0.962162	0.870724
Q8WWW8	GAB3	0.00416428	-0.0766255	0.148345	-0.163469	0.983532	0.0504931	0.000790421	0.000107905
Q92538	GBF1	-0.00368084	-0.131936	0.0485098	-0.0533917	0.983532	0.00133096	0.134132	0.0662201
Q96QF0	RAB3IP	0.00556514	-0.221901	0.222474	-0.156607	0.983532	0.00125723	0.000521744	0.00209214
Q9NXF8	ZDHHC7	0.00308894	-0.0973742	0.0976318	-0.100001	0.983532	0.0041014	0.00237857	0.000695606
Q9UHL4	DPP7	0.00530253	-0.1047	-0.0923598	0.129834	0.983532	0.0402674	0.0668085	0.0065338
Q9Y5Y5	PEX16	0.00418761	-0.120119	0.0655725	-0.0673366	0.983532	0.00596367	0.0806831	0.0468576
Q13144	EIF2B5	0.00370763	-0.0504571	0.159704	-0.17512	0.985949	0.211735	0.000558772	7.97E-05
Q13148	TARDBP	0.00494898	-0.0708926	0.20996	-0.226548	0.985949	0.178996	0.000627442	9.43E-05
Q9BYC9	MRPL20	-0.00425889	0.104471	-0.159757	0.161766	0.986158	0.0302503	0.00205518	0.000709925
P62910	RPL32	-0.00372702	0.142731	-0.161636	0.109766	0.986362	0.00536343	0.00128988	0.00654836
P36507	MAP2K2	-0.00401059	-0.081225	-0.086847	0.128447	0.98652	0.0888908	0.0726513	0.00543779
Q2KHM9	KIAA0753	-0.0033215	-0.0211548	0.151608	-0.167077	0.98652	0.598882	0.0014847	0.000224531
Q92499	DDX1	-0.00273088	0.0971342	-0.0739049	0.0364737	0.98652	0.00596367	0.0155812	0.179229
Q9NUQ2	AGPAT5	-0.00456408	0.119713	-0.0436482	0.12834	0.986856	0.039436	0.469382	0.01439
O43674	NDUFB5	-0.003215	0.116759	-0.119654	0.0999489	0.98751	0.00585578	0.00286006	0.00447279
Q9P0R6	C14orf129	0.00440772	0.20637	-0.212779	0.162358	0.989873	0.00200297	0.000770427	0.00228618
Q68DY1	ZNF626	0.00356282	0.166927	-0.168802	0.0973887	0.991213	0.00441481	0.00245456	0.0279729
Q9H0R1	C14orf108	0.00271496	0.151844	-0.0551637	0.0130065	0.991213	0.000798754	0.100219	0.705292
O43791	SPOP	-0.0020501	-0.111262	0.142252	-0.169419	0.991429	0.00193631	0.000139545	4.89E-06
Q96G75	FLJ22318	-0.00305712	-0.0374579	-0.109425	0.101721	0.991429	0.393911	0.0114254	0.00880956
Q9NVV9	THAP1	0.00284541	0.15787	-0.13235	0.0957718	0.991429	0.00262098	0.00473025	0.0161187
Q9UDW3	ZMAT5	-0.00421887	0.119917	-0.27092	0.289204	0.991429	0.043002	0.000193914	2.51E-05
Q9Y3B9	CGI-115	0.00299902	0.138171	-0.0967184	0.0410813	0.991429	0.00313703	0.0143532	0.240622
P22914	CRYGS	-0.00351581	-0.0729181	0.165762	-0.199081	0.992185	0.178122	0.00350799	0.0003255
Q14444	GPIAP1	0.00363835	0.164105	-0.18937	0.224552	0.992185	0.00784672	0.00196344	0.000166038
Q92616	GCN1L1	0.00262627	-0.0898821	0.195567	-0.195545	0.992185	0.0410179	0.000193914	4.86E-05
Q9H0Z9	RBM38	0.00284262	-0.163343	0.0531379	-0.130621	0.992185	0.00272492	0.251209	0.00387498
Q9NRP4	ACN9	-0.0041257	0.265702	-0.173117	0.147065	0.992185	0.00237454	0.0236763	0.0321392
Q9NW68	BSDC1	-0.00263831	-0.121618	0.0991933	-0.157563	0.992185	0.00923449	0.0179648	0.000390473
Q9UKT8	FBXW2	0.00248765	-0.109715	0.0581531	-0.0906766	0.992185	0.0121519	0.1347	0.0119202
A7E2V4	KIAA0913	0.00290575	-0.156145	0.0368546	-0.0404814	0.992475	0.00617851	0.490669	0.384175
O43181	NDUFS4	-0.00249452	0.17512	-0.10085	0.0836323	0.992744	0.000615737	0.00995856	0.0160685
O75533	SF3B1	-0.00304345	0.163646	-0.207187	0.233604	0.993246	0.00951556	0.00103303	0.000116902
O60293	PSRC2	0.00238511	-0.0235692	0.121127	-0.16807	0.993319	0.590212	0.00430501	0.000148807
Q9HC77	CENPJ	0.00326279	-0.0782216	0.242877	-0.220908	0.993319	0.165814	0.000378216	0.000210622
O14727	APAF1	0.0021848	0.0106837	0.0874154	-0.118883	0.99461	0.826048	0.0273403	0.0022753
O15211	RGL2	-0.0019451	-0.0265668	0.121083	-0.195758	0.996871	0.641367	0.0184588	0.000324257
P51688	SGSH	-0.00248216	-0.181901	-0.00789088	0.0486047	0.996871	0.00577505	0.918347	0.367412
P61018	RAB4B	0.00242428	-0.0553576	-0.146482	0.177137	0.996871	0.302652	0.00982449	0.00118976
Q15650	TRIP4	-0.00152723	0.125926	-0.11607	0.122635	0.996871	0.00262098	0.00242153	0.000570473
Q96H78	KIAA0446	-0.00140812	-0.131734	0.135011	-0.101099	0.996871	0.00302079	0.00140431	0.00380358
Q99627	COPS8	0.00218293	0.0544319	0.111176	-0.148552	0.996871	0.279145	0.0203435	0.00167376
Q9BSY4	CHCHD5	0.00155432	0.026933	-0.16237	0.160776	0.996871	0.485786	0.000474695	0.00014191
Q9HCK8	CHD8	-0.00212063	-0.220486	0.113795	-0.114266	0.996871	0.00133096	0.0398666	0.0229577
Q9UK58	CCNL1	-0.00172908	-0.00404893	0.111573	-0.156293	0.996871	0.935724	0.00461398	0.000158232
P27701	CD82	-0.00181377	0.0264101	-0.17082	0.115044	0.996969	0.658013	0.00411832	0.02337
P43686	PSMC4	-0.0021848	0.201635	-0.301795	0.385606	0.996969	0.0222956	0.000796481	2.22E-05
P48147	PREP	0.000666893	0.0386357	0.094154	-0.121082	0.996969	0.294506	0.00981306	0.000799511
P49590	HARSL	0.000835489	-0.0053222	0.0989833	-0.155571	0.996969	0.914149	0.0100961	0.00016726
P78368	CSNK1G2	-0.00149856	-0.234947	0.453903	-0.444055	0.996969	0.00283867	1.70E-06	7.17E-07
P98175	RBM10	-0.000778934	-0.0912468	0.0745214	-0.0659881	0.996969	0.00192446	0.00363549	0.00356315
Q14004	CDC2L5	-0.00104735	0.00761642	0.0826712	-0.113483	0.996969	0.834228	0.00742034	0.000324257
